Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Price,Location
1600 La Tuna Pl SE,4 Beds,3 Baths,"5,328 sqft",1982,Garage,"$995,000",Albuquerque
2910 3rd St NW,4 Beds,2 Baths,"1,796 sqft",1940,No Info,"$165,000",Albuquerque
1431 Vassar Dr NE,3 Beds,2 Baths,"1,585 sqft",1951,1 Car Garage,"$359,000",Albuquerque
6507 Loftus Ave NE,5 Beds,6 Baths,"3,175 sqft",1967,Garage,"$429,900",Albuquerque
5400 Dee Dr NE,3 Beds,2 Baths,"1,777 sqft",1976,2 Car Garage,"$299,000",Albuquerque
1330 Ridgecrest Loop SE,3 Beds,2 Baths,"1,940 sqft",1977,2 Car Garage,"$305,000",Albuquerque
13805 Carmellia Ct SE,3 Beds,2 Baths,"1,401 sqft",2003,2 Car Garage,"$279,900",Albuquerque
12408 Chelwood Ct NE,5 Beds,3 Baths,"3,243 sqft",1969,2 Car Garage,"$399,000",Albuquerque
2004 Northlands Dr SE,3 Beds,3 Baths,"3,161 sqft",2012,2 Car Garage,"$385,000",Albuquerque
13509 Haines Ave NE,4 Beds,3 Baths,"3,528 sqft",1987,2 Car Garage,"$625,000",Albuquerque
4601 Carlisle Blvd NE #D9,3 Beds,2 Baths,964 sqft,1972,1 Carport Spaces,"$110,000",Albuquerque
248 Shirley St NE,3 Beds,2 Baths,"1,054 sqft",1977,Garage,"$225,900",Albuquerque
2737 Casa Del Norte Ct NE,4 Beds,3 Baths,"2,869 sqft",1978,2 Car Garage,"$499,000",Albuquerque
3841 Montgomery Blvd NE #838,1 Bed,1 Bath,784 sqft,1972,No Info,"$81,499",Albuquerque
21 Mill Rd NW,2 Beds,2 Baths,"1,968 sqft",1983,2 Car Garage,"$440,000",Albuquerque
716 Solano Dr SE,4 Beds,2 Baths,"2,081 sqft",1945,No Info,"$370,000",Albuquerque
9824 Shiraz Rd SW,3 Beds,2 Baths,"1,650 sqft",2006,2 Car Garage,"$229,000",Albuquerque
209 Cagua Dr NE,2 Beds,1 Bath,939 sqft,1949,1 Car Garage,"$215,000",Albuquerque
7305 Foster Ct SW,3 Beds,2 Baths,"1,025 sqft",1979,Garage,"$119,000",Albuquerque
6901 Leander Ave NE,4 Beds,3 Baths,"2,122 sqft",1974,2 Car Garage,"$339,900",Albuquerque
9008 Lazy Brook Ct NE,4 Beds,3 Baths,"2,610 sqft",2000,Garage,"$489,900",Albuquerque
4820 Valle Santo Trl NW,4 Beds,3 Baths,"2,823 sqft",2017,3 Car Garage,"$788,000",Albuquerque
4908 Camino Valle Trl NW,4 Beds,3 Baths,"3,200 sqft",2014,3 Car Garage,"$1,100,000",Albuquerque
803 Cromwell Ave SW,2 Beds,1 Bath,870 sqft,1952,No Info,"$145,000",Albuquerque
