Bedroom,Bathroom,Sqft,Price,Parking,Address,Yearbuild
3 Beds,2 Baths,"1,824 sqft","$1,149,000",2 Car Garage,"7747 Topaz Lake AveSan Diego, CA 92119",1962
Studio,1 Bath,462 sqft,"$299,900",Garage,"1080 Park Blvd #204San Diego, CA 92101",2007
3 Beds,2 Baths,"1,210 sqft","$1,500,000",2 Car Garage,"827 Santa Barbara PlSan Diego, CA 92109",2021
2 Beds,2 Baths,890 sqft,"$385,000",Open Parking,"4540 60th St #305San Diego, CA 92115",1996
3 Beds,3 Baths,"1,504 sqft","$555,555",2 Car Garage,"1731 San EugenioSan Diego, CA 92154",2016
4 Beds,3 Baths,"2,273 sqft","$1,075,000",2 Car Garage,"5986 Highplace DrSan Diego, CA 92120",1973
2 Beds,3 Baths,"1,168 sqft","$674,900",1 Car Garage,"1137 Terracina LnSan Diego, CA 92103",2003
4 Beds,3 Baths,"2,061 sqft","$1,299,000",Garage,"17364 Frondoso DrSan Diego, CA 92128",1970
3 Beds,2 Baths,"1,567 sqft","$899,000",2 Car Garage,"8394 Blue Lake DrSan Diego, CA 92119",1959
2 Beds,2 Baths,904 sqft,"$565,100",1 Parking Spaces,"10850 Sabre Hill Dr #236San Diego, CA 92128",1993
3 Beds,2 Baths,"1,730 sqft","$600,000",2 Car Garage,"4982 Loris StSan Diego, CA 92105",1960
4 Beds,3 Baths,"1,619 sqft","$649,999",2 Car Garage,"1626 Howard AveSan Ysidro, CA 92173",1980
4 Beds,3 Baths,"1,693 sqft","$800,000",No Info,"6024-26 Estelle StSan Diego, CA 92115",1941
8 Beds,10 Baths,"13,575 sqft","$11,498,000",8 Car Garage,"1640 La Jolla Rancho RdLa Jolla, CA 92037",2008
3 Beds,2 Baths,"1,627 sqft","$1,396,000",2 Car Garage,"2068 Beryl StSan Diego, CA 92109",1957
3 Beds,2 Baths,"1,094 sqft","$899,900",None,"3030 Nile StSan Diego, CA 92104",1958
3 Beds,2 Baths,"1,200 sqft","$799,000",Garage,"2915 Ulric StSan Diego, CA 92111",1942
3 Beds,2 Baths,"1,281 sqft","$499,900",2 Car Garage,"816 Twining AveSan Diego, CA 92154",1969
4 Beds,2 Baths,"1,296 sqft","$815,000",Garage,"2363 Hanford DrSan Diego, CA 92111",1980
2 Beds,1 Bath,751 sqft,"$589,000",Garage,"2510 Torrey Pines Rd #409La Jolla, CA 92037",1970
3 Beds,3 Baths,"1,589 sqft","$849,000",2 Car Garage,"7824 Mission Bonita DrSan Diego, CA 92120",1983
6 Beds,8 Baths,"4,743 sqft","$4,295,000",Garage,"3500 Jewell StSan Diego, CA 92109",2019
3 Beds,2 Baths,"1,008 sqft","$675,000",2 Parking Spaces,"3578 42nd StSan Diego, CA 92105",1915
